-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1990 through 03/31/2020 
Location: Latitude  34.6078   Longitude 43.6908 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 140.22 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
WS10M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 10 Meters (m/s) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
WS10M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 10 Meters (m/s) 
KT SRB/FLASHFlux 1/2x1/2 Insolation Clearness Index (dimensionless) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,T2M_MAX,T2M_MIN,T2M,WS10M,ALLSKY_SFC_LW_DWN,TS,WS10M_MIN,WS10M_MAX,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
34.60781,43.69081,1990,01,30,   53.80,   14.93,    0.13,    6.51,    2.21,              6.33,    6.03,    0.43,    3.55,              0.65,              4.33,              3.74
34.60781,43.69081,1990,01,31,   45.89,   14.79,    0.51,    7.45,    2.03,              6.42,    6.13,    0.17,    3.71,              0.64,              4.32,              3.71
34.60781,43.69081,1990,02,01,   66.51,   14.05,    2.14,    6.59,    5.22,              7.39,    6.30,    3.41,    8.28,              0.23,              3.82,              1.32
34.60781,43.69081,1990,02,02,   88.84,    9.62,    5.91,    7.66,    2.66,              7.86,    7.70,    0.48,    4.20,              0.33,              4.14,              1.96
34.60781,43.69081,1990,02,03,   73.25,   13.47,    3.87,    8.37,    1.55,              6.70,    7.97,    0.32,    2.88,              0.60,              4.26,              3.56
34.60781,43.69081,1990,02,04,   70.15,   15.65,    2.54,    8.30,    3.85,              7.09,    8.28,    1.94,    5.93,              0.52,              3.90,              3.10
34.60781,43.69081,1990,02,05,   56.05,   15.55,    1.36,    7.47,    3.15,              6.24,    8.00,    1.54,    4.34,              0.72,              4.43,              4.37
34.60781,43.69081,1990,02,06,   44.89,   15.10,    1.14,    7.68,    1.94,              6.26,    6.64,    0.45,    3.24,              0.59,              3.66,              3.61
34.60781,43.69081,1990,02,07,   49.53,   16.98,    1.59,    8.83,    2.42,              7.14,    8.66,    0.89,    3.47,              0.50,              3.75,              3.11
34.60781,43.69081,1990,02,08,   53.91,   17.05,    5.62,   10.28,    2.73,              7.38,   10.00,    0.86,    4.39,              0.37,              4.40,              2.29
34.60781,43.69081,1990,02,09,   65.63,   17.43,    4.35,   10.54,    2.47,              7.94,   10.93,    0.74,    4.16,              0.44,              4.56,              2.78
34.60781,43.69081,1990,02,10,   66.71,   14.91,    5.57,    9.22,    3.54,              7.47,    9.44,    1.07,    6.45,              0.54,              3.92,              3.44
34.60781,43.69081,1990,02,11,   59.58,   16.13,    2.86,    9.14,    1.88,              6.28,    8.69,    0.59,    3.69,              0.74,              4.75,              4.75
34.60781,43.69081,1990,02,12,   59.84,   16.85,    3.87,    9.65,    3.36,              7.28,    9.34,    1.29,    4.43,              0.53,              3.74,              3.39
34.60781,43.69081,1990,02,13,   60.22,   16.68,    4.10,    9.97,    3.82,              7.89,   10.05,    2.16,    5.22,              0.32,              4.68,              2.10
34.60781,43.69081,1990,02,14,   56.45,   17.39,    7.56,   11.23,    5.44,              7.51,   11.01,    3.41,    8.41,              0.46,              4.71,              3.00
34.60781,43.69081,1990,02,15,   65.16,   14.91,    7.28,   10.70,    4.66,              7.38,   10.64,    1.34,    8.32,              0.40,              4.71,              2.64
34.60781,43.69081,1990,02,16,   66.84,   16.63,    3.07,    9.59,    2.49,              7.26,   10.06,    1.01,    3.72,              0.59,              4.87,              3.96
34.60781,43.69081,1990,02,17,   58.11,   19.69,    5.99,   11.84,    5.22,              7.82,   11.82,    3.41,    7.61,              0.50,              4.84,              3.34
34.60781,43.69081,1990,02,18,   48.91,   21.29,    8.56,   14.25,    8.78,              8.05,   14.16,    6.70,   11.57,              0.48,              4.45,              3.26
34.60781,43.69081,1990,02,19,   63.17,   11.66,    6.59,    9.07,    4.35,              7.52,    8.45,    0.42,    8.02,              0.29,              5.00,              1.99
34.60781,43.69081,1990,02,20,   54.24,   14.71,    2.19,    8.21,    1.93,              7.18,    8.49,    0.28,    2.50,              0.46,              4.35,              3.20
34.60781,43.69081,1990,02,21,   53.58,   14.20,    3.51,    7.98,    2.25,              7.09,    8.37,    1.03,    3.92,              0.46,              4.70,              3.20
34.60781,43.69081,1990,02,22,   53.93,   15.82,    1.70,    7.91,    2.99,              6.12,    8.42,    1.85,    3.88,              0.72,              5.07,              5.07
34.60781,43.69081,1990,02,23,   49.56,   17.12,    0.73,    7.84,    3.40,              6.21,    8.33,    1.78,    5.76,              0.63,              4.52,              4.46
34.60781,43.69081,1990,02,24,   45.77,   16.18,    1.53,    8.86,    2.08,              6.68,    8.30,    0.50,    3.57,              0.63,              4.60,              4.55
34.60781,43.69081,1990,02,25,   43.66,   17.46,    3.64,   10.01,    2.31,              6.34,    9.70,    0.67,    3.71,              0.59,              4.45,              4.28
34.60781,43.69081,1990,02,26,   48.53,   18.15,    2.60,    9.55,    3.26,              6.25,    9.68,    2.03,    4.33,              0.63,              4.76,              4.61
34.60781,43.69081,1990,02,27,   45.90,   18.60,    4.21,   11.04,    2.23,              6.38,    9.94,    1.09,    3.82,              0.66,              5.11,              4.87
34.60781,43.69081,1990,02,28,   46.76,   19.89,    3.89,   11.94,    3.45,              6.87,   11.33,    0.35,    5.14,              0.61,              4.48,              4.53
34.60781,43.69081,1990,03,01,   39.91,   22.97,    4.75,   13.24,    7.28,              7.41,   13.09,    2.79,   12.33,              0.65,              5.31,              4.89
34.60781,43.69081,1990,03,02,   58.20,   17.54,    7.52,   11.84,    2.93,              7.68,   12.40,    1.36,    5.11,              0.51,              5.68,              3.85
34.60781,43.69081,1990,03,03,   56.31,   20.89,    4.79,   11.99,    3.35,              6.92,   12.48,    2.45,    4.52,              0.67,              4.85,              5.08
34.60781,43.69081,1990,03,04,   54.02,   20.87,    5.41,   13.13,    2.36,              7.51,   12.98,    0.09,    4.16,              0.64,              5.60,              4.89
34.60781,43.69081,1990,03,05,   52.41,   20.65,   10.13,   14.78,    2.84,              8.07,   13.90,    1.00,    4.17,              0.54,              5.51,              4.16
